		For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Choose the category of statement	Choose the category of comments	For scoring a given reviewer								For scoring a given reviewer								Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree
635-Paper1380	SwIPE: Efficient and Robust Medical Image Segmentation with Implicit Patch Embeddings	Based on the information provided by the authors, the paper has been submitted with a completed reproducibility checklist. The authors have listed implementation details that can be followed easily.								Code and Data are available, used training routine and hyperparameters well described.								Code should be easy to reproduce from the details in the paper, and it will be released on github.											0	0	0	0	0	0	
636-Paper1534	Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-based Hierarchical Fusion Network with Attention Mechanism	As mentioned, the reference synthetic CE-MRI used for comparing results is not explained, to reproduce the experiment.								No code or data was provided along with the paper.								The proposed model used T1WI and multi-b-value DWI images as input, while the T1WI information is not reflected in the title.  The term "contrast-enhanced MRI (CE-MRI)" is less common and we usually use DCE-MRI.  Some sentences in this manuscript are not precisely expressed, such as "However, the use of gadolinium-based contrast agents (GBCA) requires iv-cannulation, which is a burden to patients, time consuming and cumbersome in a screening situation" or "We invented (a or the) hierarchical fusion module,"  You said, On the other hand, the information provided by multi-sequences may be redundant and may not contain the relevant information of CE-MRI. But is there a basis for the premise of this hypothesis?  Another confusing sentence: invented hierarchical fusion module, weighted difference module and multi-sequence attention module to enhance the fusion at different scale, to control the contribution of different sequence and maximising the usage of the information within and across sequences. Lots of little mistakes, like plural nouns without the 's'.  What's the meaning of "ln function"? Is it the log function?  Why use a generative adversarial training strategy? A direct calculation of the MSE loss between DCE-MRI and the generated image should be sufficient to generate the desired image.  The loss function LD(G, D), used for training the Discriminator, should have an extra negative sign.  In the sentence "The numbers of filters are 32, 64, 128, 256 and 512, respectively", the numbers should be revised into channels.  Can't understand the part of "2.3 Visualization".  In the sentence "The trade-off parameter l1 was set to 100 during training, and the trade-off parameter of the reconstruction loss in the reconstruction module is set to 5.", what's the difference between the two trade-off parameters?  "The batch was set to 8 for 100 epochs"? Do you want to say "the batch size"?  What is the meaning of "thereby optimizing logistics and minimizing potential risks to patients."?  In the right part of Fig.3., you note the (ceT1-T1). What is the meaning of (ceT1-T1)? Is it the subtracted image between the GT and the model outputs? If they are the subtracted images, the highlighted parts of them mean more difference. If they are the output images of models, the details inside the chest are worse.  Finally, DCE-MRI usually has images at multiple time points, representing different stages of contrast inflow and outflow from the lesion. In this manuscript, only one DCE-MRI image at the one-time point was generated. So, at what point in time did you generate the image? Whether there is a basis for relevant support. Why can't all time points be generated?											0	0	0	0	0	0	
637-Paper1741	Synthesising Rare Cataract Surgery Samples with Guided Diffusion Models	The data and hyperparameters will reportedly be accessible to all.								The author well elaborate the experiments performed.								Nothing to note on this section											0	0	0	0	0	0	
638-Paper3484	Synthetic Augmentation with Large-scale Unconditional Pre-training	Reproducible. The code and pre-trained model release would be appreciated.								The paper describes the model architecture and references the appropriate implementation details. Still, the paper in general is missing an analysis of sensitivity to hyper-parameters or variance with respect to stochastic inputs (weight initialization, training data selection, stochastic gradient decent, etc) resulting in scores without any uncertainty.								the authors are committed to provide source code, the reproducibility should be fine											0	0	0	0	0	0	
639-Paper2389	TabAttention: Learning Attention Conditionally on Tabular Data	The author provided a code for integrating TabAttention in CNNs on github. I think the article is reproducible.								dataset is private  code is publicly available and anonymously on github								The code is publicly available.											0	0	0	0	0	0	
640-Paper0919	TauFlowNet: Uncovering Propagation Mechanism of Tau Aggregates by Neural Transport Equation	The reproducibility of the paper is good.								The model seems to be easy to implement and reproduce. Data preparation might be harder to replicate, and I think that publishing supporting code would be very helpful.								OK											0	0	0	0	0	0	
641-Paper2196	TCEIP: Text Condition Embedded Regression Network for Dental Implant Position Prediction	The paper is well-written. But, I will suggest the code and dataset be released to support reproducibility.								The authors released some training parameter information, but did not release the code.								none											0	0	0	0	0	0	
642-Paper0880	TCL: Triplet Consistent Learning for Odometry Estimation of Monocular Endoscope	Good								Although the codes are not released, a clear description of the method, a declaration of what software framework, and implementing details are provided. The data for evaluation are publicly available. Thus, it is possible to re-implement the method.								The author has given the code of the proposed method.											0	0	0	0	0	0	
643-Paper3608	Temporal Uncertainty Localization to Enable Human-in-the-loop Analysis of Dynamic Contrast-enhanced Cardiac MRI Datasets	The code is not available								The dataset is in-house and the code has not been publically available.								There is no code available and therefore not as easily reproducible ].											0	0	0	0	0	0	
644-Paper2911	Tensor-based Multimodal Learning for Prediction of Pulmonary Arterial Wedge Pressure from Cardiac MRI	The prediction method utilized in the study is SVM, which requires training for different features and is time-consuming. Have the authors considered using different deep-learning based methods, such as FC layer?  The discussion of the results in the study is limited.								The authors state they will make the code and the data set publicly available if accepted.								According to the reproducibility checklist, the authors will open-source their work.											0	0	0	0	0	0	
645-Paper2005	Text-Guided Cross-Position Attention for Segmentation: Case of Medical Image	The authors are plannig to provide the codes via GitHub.								reproducibility is good								Should be able to reproduce											0	0	0	0	0	0	
646-Paper1254	Text-guided Foundation Model Adaptation for Pathological Image Classification	The paper used a publicly available dataset PatchGastricADC22. The source code information is not provided.								Authors used an open source dataset and code, therefore results should be reproducible.								"The average runtime for each result, or estimated energy cost.", "A description of the memory footprint." and "An analysis of situations in which the method failed." can be and should be reported, instead of "Not Applicable".  The authors provide an empty github link for the source code repo, I understand it means that you can fill it if accepted, but I remember that it is not allowed to provide the link.											0	0	0	0	0	0	
647-Paper1613	The Role of Subgroup Separability in Group-Fair Medical Image Classification	Reproducible								Should be able to reproduce the experiments upon codes released.								Sufficiently reproducible											0	0	0	0	0	0	
648-Paper1157	Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound	Dataset used is not available publicly.								Satisfactory.								The paper is easy to reproduce because the authors provide a detailed methodological flow and sufficient network details.											0	0	0	0	0	0	
649-Paper1212	Thyroid Nodule Diagnosis in Dynamic Contrast-enhanced Ultrasound via Microvessel Infiltration Awareness	yes								Satisfactory.								The details on the parameter selection process will make the work reproducible.											0	0	0	0	0	0	
650-Paper1314	Topology Repairing of Disconnected Pulmonary Airways and Vessels: Baselines and a Dataset	Authors have agreed to make the code and data public.								If the data is made available, I see no problem with the reproducibility of the method.								The authors plan to release their dataset. Before that, the results are not reproducible, since both original data and the method for adding discontinuities into the data are not yet available.											0	0	0	0	0	0	
651-Paper0181	Topology-Preserving Automatic Labeling of Coronary Arteries via Anatomy-aware Connection Classifier	As the metrics reported are not valid they cannot be reproduced.								The reproducibility of the paper is strong based on the provided information in the reproducibility checklist. The authors have addressed most of the crucial aspects, which includes:    Clear descriptions of the software framework, assumptions, and mathematical setting, algorithm, and/or model.  Detailed information about the datasets, including relevant statistics, and links to downloadable versions if public.  Code availability, including specification of dependencies  Comprehensive reporting of experimental results, such as hyper-parameter selection and sensitivity analysis								The manuscript presents details of the implementation and parameters used. Atleast some of the dataset is publically available, and authors state the additional ground truth data used for this manuscript will be made publically available.											0	0	0	0	0	0	
652-Paper1351	Topology-Preserving Computed Tomography Super-resolution Based on Dual-stream Diffusion Model	The authors have stated that they will make all the scripts (both training and testing) and the generated datasets public.								The author will make the code publicly available so the work will be fully reproducible. Also, the architecture design is clear. Publicly available dates are referenced and properly described. It is not clear in the paper if the in-house constructed dataset will be made available too.								This paper does not describe the specific network architecture but provides implementation details in the appendix, which includes the train-val-test partition, input size, implementation framework, learning rate, optimizer, hardware and so on. However, other hyper-parameters are not given. The source code may be publicly available later. Additionally, this paper has two in-house datasets that are not publicly available but provides details in the appendix, including the number of scans, ages, sex, spatial resolution, image size, inter-slice thickness, tube voltage, CT scanner and so on.											0	0	0	0	0	0	
653-Paper0994	Toward Fairness Through Fair Multi-Exit Framework for Dermatological Disease Diagnosis	The reproducibility of this paper is quite low. There are several key details that are missing (see weaknesses): the loss function, the number of samples in and the class-wise distribution of training, validation, and testing sets, the number of training runs and if the experiments were repeated.  In the reproducibility checklist, the authors have replied "Yes" to several items that are not present in the paper:    "A clear declaration of what software framework and version you used." -> missing.  "Information on sensitivity regarding parameter changes." -> missing.  "The exact number of training and evaluation runs." -> missing.  "The details of train / validation / test splits." -> missing.  "A description of results with central tendency (e.g. mean) & variation (e.g. error bars)." -> missing.  "An analysis of statistical significance of reported differences in performance between methods." -> missing.								The authors are conducting a computational study with datasets from the public domain so all experiments should be fully reproducible. The authors claim that all of the information required to replicate the experiments is available. It would be helpful to include a link to where this can be found in the paper.								The study uses publicly available datasets, and the authors have indicated that all code required to run the experiments will be made available after publication.											0	0	0	0	0	0	
654-Paper0225	Towards Accurate Microstructure Estimation via 3D Hybrid Graph Transformer	Overall, the paper seems to be well-documented and provides the necessary information to reproduce the results.								the authors meet all the criteria on the reproducibility checklist.								I think the paper should be reproducible upon the code releases.											0	0	0	0	0	0	
655-Paper1614	Towards AI-driven radiology education: A self-supervised segmentation-based framework for high-precision medical image editing	The authors provide enough information regarding the reproducibility of their results, as their synthesized images and code will be publicly available.								The code is not yet made available due to anonymization. However, other details for reproducibility are provided in accordance with the author statement.								The proposed method is evaluated on in-house datasets, and the author did not promise to release the data.   Many hyper-parameters need to be determined, the paper should clarify it.											0	0	0	0	0	0	
656-Paper0094	Towards Expert-Amateur Collaboration: Prototypical Label Isolation Learning for Left Atrium Segmentation with Mixed-Quality Labels	No code or dataset is provided.								Yes								The authors have described the details of the experimental setup and the implementation. Although, the paper uses a public dataset, the source code is not provided. Therefore, it is only possible to reproduce the experiments if the scripts are available.											0	0	0	0	0	0	
657-Paper3191	Towards frugal unsupervised detection of subtle abnormalities in medical imaging	The reproducibility checklist has been filled but not codes were attached.								This paper is difficult to replicate due to the advanced mathematical operations. But, since the authors have mentioned that the code would be available, this method could be replicable.								The exact steps of the algorithm used for the EM are not outlined clearly. The data is used publicly available. It could be possible to reproduce the algorithm on the data, but the parameters used etc are not known.											0	0	0	0	0	0	
658-Paper1591	Towards Generalizable Diabetic Retinopathy Grading in Unseen Domains	The training hyperparameters are given. All the datasets are public and their references are given. However, more details on the software framework (Torch, Tensorflow, etc.) and version was not given, and the code to the data augmentation module (FundusAug) which is very crucial and can affect the whole pipeline is not given. Overall, the implemented ideas are relatively simple and someone can implement them, still important details are missing to reproduce the exact results of the method.								No code is available. The details of implementation is not clear.								The manuscript include sufficient details for the reproducibility of the work. Public datasets were analyzed in the experiments.											0	0	0	0	0	0	
659-Paper3244	Towards multi-modal anatomical landmark detection for ultrasound-guided brain tumor resection with contrastive learning	The paper is thorough and contains pretty much all details necessary to be reproduced. A minor detail I did not find were the ranges of the image augmentations in training.								The work should be reproducible with reasonable efforts considering the checklist provided by the authors.								A public dataset is used and it is stated that the code is going to be released. Reproducibility is ensured.											0	0	0	0	0	0	
660-Paper0283	Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering	Too many parameters should be tuned, so not easy to reproduce.								The authors provide implementation details in their Experiments section which make it relatively straightforward to reproduce, and they mention that they intend to publish their code soon which will further assist in reproducibility.								good.											0	0	0	0	0	0	
661-Paper0611	TPRO: Text-prompting-based Weakly Supervised Histopathology Tissue Segmentation	The paper has provided most of the details.								The authors have shared details about the training algorithm, hyperparameters and the hardware used. They can also share the different libraries and their versions used in experimentation.								Most details required for reproducibility are explained except for Vision Encoder (total blackbox). Supplementary presents additional hyperparameters in Table 1. Is code going to be provided?											0	0	0	0	0	0	
662-Paper1522	Trackerless Volume Reconstruction from Intraoperative Ultrasound Images	The authors claim "Code will be publicly released." Considering the datasets are primarily private across research groups, I think the code should contribute to the paper reproducibility.								This work has good reproducibility.   To be reproducible, the code should be publicly available. And the dataset is important as well.								The authors mention that the source code with parameters will be released upon the acceptance of the paper. In the text, the methods are described well with parameter values used for training. With access to the source code and parameter sets along with the clear description of the methods in the paper, I believe, that an interested reader will be able to reproduce the result without much effort.											0	0	0	0	0	0	
663-Paper3122	Tracking adaptation to improve SuperPoint for 3D reconstruction in endoscopy	The experimental setup needs to be written to improve the clarity of the paper. Without that it is difficult to reproduce the results.								I believe the work can be reproduced based on the authors' explanation								The paper appears reproducible, with clear reference to the training data, software and methods used.  The reproducibility checklist implies that code will be released for this method, however this is not mentioned in the paper. The intention may be to add this sentence to the camera ready version.											0	0	0	0	0	0	
664-Paper3146	TractCloud: Registration-free Tractography Parcellation with a Novel Local-global Streamline Point Cloud Representation	The clinical dataset is not open publicly available. It prevents the reproducibility assessment of the impact in clinical setting								Authors detailed the framework clearly, and will release code on GitHub. The formulation and experimental design are easy to follow, with all the details covered in the paper.								Data is openly available and code will be published											0	0	0	0	0	0	
665-Paper1501	Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors	The reproducibility is not so well, considering that their codes are not public accesible and the method description is not very clear.								Good								The paper does not provide source code or state that source code will be provided. I believe, the reproducibility of the proposed method is medium without open-source code.											0	0	0	0	0	0	
666-Paper3086	Transferability-Guided Multi-Source Model Adaptation for Medical Image Segmentation	The paper's algorithm implementation is clear and well-documented, making it relatively easy for others to reproduce the results.								The reproducibility seems good according to the reproducibility response.								I am convinced of the reproducibility of the paper. However, due to the complexity of the framework, I find it difficult to understand some details. Therefore, I suggest that the authors publish their code to improve reproducibility and facilitate understanding of the methodology.											0	0	0	0	0	0	
667-Paper0211	Transformer-based Annotation Bias-aware Medical Image Segmentation	The code is attached as supplemental material.  The datasets are public available.								The paper has a high reproducibility and the training details are provided. The code of the implemented networks is also provided in the supplementary materials.								The network structure is quite complex, which is difficult to be reimplemented from scratch and reproduce the results.											0	0	0	0	0	0	
668-Paper1015	Transformer-based Dual-domain Network for Few-view Dedicated Cardiac SPECT Image Reconstructions	The paper lacks detailed information about the architecture, making it difficult to replicate it.								Yes, the authors claimed that they will release the code.								Reasonable.											0	0	0	0	0	0	
669-Paper2405	Transformer-based end-to-end classification of variable-length volumetric data	The reproducibility of the paper is feasible according to implementation details.								The reproducibility of this paper is promising, The architecture of the network, the implementation details and the data for training and evaluation are described in detail.								It seems the authors are not able to release their code.  Considering the missing details, the paper in its current version might not be easily reproduced.											0	0	0	0	0	0	
670-Paper2643	Transformer-based tooth segmentation, identification and pulp calcification recognition in CBCT	The authors have claimed that they will share their github repo.								Assuming that the authors follow through with their announcement in the paper and share the code, it should be feasible to reproduce the results.								The authors reported most of the experimental parameters, thus making the study highly reproducible.											0	0	0	0	0	0	
671-Paper1235	TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification	The proposed method could be easily re-implemented based on provided architecture and training information  Both code and data are not provided								no code.								The authors mention in the reproducibility checklist that the code will be released. The authors provided the necessary details such as hyperparameter settings, training epochs, hardware utilized, batch size etc. The authors also provided extensive ablation study in the supplementary material. The results should be reproducible with these details.											0	0	0	0	0	0	
672-Paper0918	TransNuSeg: A Lightweight Multi-Task Transformer for Nuclei Segmentation	The method should be easy to reproduce.								Reproducible, code is provided.								The code is shared. I have no concern on reproducibility.											0	0	0	0	0	0	
673-Paper0529	Treasure in Distribution: A Domain Randomization based Multi-Source Domain Generalization for 2D Medical Image Segmentation	The authors have declared related options as found from the checklist.								It is mentioned in the abstract that the code will be made available, and the study is primarily based on public datasets.								The authors will share code. However, I don't see the link to downloadable version of the dataset in the paper although the authors indicated "Yes" in the reproducibility checklist.											0	0	0	0	0	0	
674-Paper2676	Treatment Outcome Prediction for Intracerebral Hemorrhage via Generative Prognostic Model with Imaging and Tabular Data	The authors have provided codes in their supplementary material. The reproducibility of this work is promising.								The code is currently available and the procedure is well described.								can be reproduced somehow given the data and public code											0	0	0	0	0	0	
675-Paper3480	Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer	The method for constructing the graph is clearly described and could be reproduced. But the usage of the features extracted from the graph is missing. No code publicly available.								The data set seems to be proprietary (it is not provided). Therefore, reproducibility is poor.								#NAME?											0	0	0	0	0	0	
676-Paper1044	TriDo-Former: A Triple-Domain Transformer for Direct PET Reconstruction from Low-Dose Sinograms	The paper lacks open-source codes, and it appears that the data used may be private. However, since the proposed method is not overly complex, and the implementation details are provided in the paper, it is theoretically possible to reproduce the results.								The paper seems to be reproducible since the architecture has been described in details. The authors also provide further information for reproducibility under section 2.4 Details of Implementation								The paper includes sufficient details to ensure reproducibility.											0	0	0	0	0	0	
677-Paper0925	Trust your neighbours: Penalty-based constraints for model calibration	Ok								Good, the code is supplied and additional materials.								The reproducibility is great since the author provided the core implementation.											0	0	0	0	0	0	
678-Paper2739	TSegFormer: 3D Tooth Segmentation in Intraoral Scans with Geometry Guided Transformer	Non reproducible								Nothing to add								Although the authors have not released any code or pretrained model, they have provided details regarding the training such as loss function, learning rate, hyper parameter tuning, number of epochs etc in the supplementary material. The authors showed the dental disease distribution of the challenging cases on which they conducted visual scoring by clinicians.  Though the mean and error bar of the performance metrics is not provided in this case, the results might be sufficient given that the dataset is large i.e. 16000 IOS scans.The authors have specified details of the convolution layers such as input size and output size, number of nearest neighbors for the knn, kernel size and the attention layer details. From these details it seems the work could be reproducible. Adding some more details e.g. GPU used and batch size would be helpful.											0	0	0	0	0	0	
679-Paper2611	Twelve-Lead ECG Reconstruction from Single-Lead Signals Using Generative Adversarial Networks	Good.  The authors said:  For all code related to this work that you have made available or will release if this work is accepted, check if you include: YES (for Specification of dependencies, Training code, Evaluation code, (Pre-)trained model(s)).								Dataset is not publicly available. No information about code release in the manuscript.								Reproducibility is low. The authors neither provide the source code for their novel EKGAN model nor seems the dataset they used for validation and testing to be publicly available. It is highly desirable for this information to be made publicly available should the paper be published.											0	0	0	0	0	0	
680-Paper3085	Ultrasonic tracking of a rapid-exchange microcatheter with simultaneous pressure sensing for cardiovascular interventions	The reproducibility of the paper is ok.								The details of hardware design and tracking image processing code are not included in this paper.   Implementing this system design may not be easy for individuals. However, if the system can be manufactured, it has the potential for high clinical impact.								The methods in the paper are only reproducible for those who have access to special instrumentation. There are no algorithmic contributions.											0	0	0	0	0	0	
681-Paper1417	UM-CAM: Uncertainty-weighted Multi-resolution Class Activation Maps for Weakly-supervised Fetal Brain Segmentation	The author plan to release the source code after review.								Although the data were not able to provide, it is reasonable to reproduce the method with the code and model of the authors.								Although it is stated that the code for the method and experiments is available, I did not find this information in the paper. The methods described in the paper seem sufficient to reproduce the results. The reproducibility points given are mostly valid.  The following items were marked in the reproducibility response, but I missed them in the paper:   I) Hyperparameter tuning II) Sensitivity to parameter changes III) Number of runs IV) Baseline implementation V) Failure situations.											0	0	0	0	0	0	
682-Paper1836	Uncertainty and Shape-Aware Continual Test-Time Adaptation for Cross-Domain Segmentation of Medical Images	The authors used public datasets and state to release their code. Thus, results should be reproducible.								Good reproducibility: the methods are clear enough to be re-implemented (code will be provided anyway upon acceptance) and datasets are publicly available.								The framework appears to be reproducible using the information provided in the paper.											0	0	0	0	0	0	
683-Paper1553	Uncertainty Inspired Autism Spectrum Disorder Screening	Yes, since the authors list the used dataset, and important parameters.								I believe that the obtained results can, in principle, be reproduced.								This paper provides sufficient details about the models, datasets, and evaluation.											0	0	0	0	0	0	
684-Paper0240	Uncertainty-informed Mutual Learning for Joint Medical Image Classification and Segmentation	Looks good								The network structure is quite complex, which is difficult to reimplement and reproduce the results from scratch.								The authors do not release their code.  Its anterior work, TBraTS [27], releases the code on the segmentation with uncertainty estimation.  The training on the joint framework, i.e., first do the MUT computation, and then do the seg loss, and finally do the cls loss may make the whole training complicated.											0	0	0	0	0	0	
685-Paper1116	Uncovering Heterogeneity in Alzheimer's Disease from Graphical Modeling of the Tau Spatiotemporal Topography	Dataset are from two subsets from ADNI which is publicly available, we hope to see a github with the code								The data sets and preprocessing method are sufficiently described, but providing the code would be absolutely necessary to ensure the paper reproducibility.								The authors mention choosing certain hyper-parameters such as the unpaired costs and distance matrix weights. The work would be more reproducible if they provided more detail on how these parameters were selected - are these specific to their dataset/experiments?											0	0	0	0	0	0	
686-Paper0920	Uncovering Structural-Functional Coupling Alterations for Neurodegenerative Diseases	The manuscript itself is not sufficient for reproducibility but as the authors have declared that they will share the codes, it must be re-runable. Nevertheless, thought the data used is open data, the ADNI dataset is quite complicated and specifying that 250 subjects from ADNI are used is not sufficient to identify these subjects.   Hence, reproducing the results may not be straight forward.								uses ADNI data but unclear which samples - also unclear if code will be made publicly available								Details about the implementation of GNN and Kuramoto models can be added to improve reproducibility. Providing code should be recommended.											0	0	0	0	0	0	
687-Paper3056	Understanding Silent Failures in Medical Image Classification	All work for this paper uses publicly available data and all code will be made available online. In the supplementarily materials the paper presents details training parameters for each of the trained models.								No concerns here as the code will be available.								The code has been provided and in this way makes it easy for other researchers to utilise.											0	0	0	0	0	0	
688-Paper2711	Unified Brain MR-Ultrasound Synthesis using Multi-Modal Hierarchical Representations	The paper mentions that the dataset used in this experiment will be published on TCIA in 2023, and the code is publicly available. A detailed description of the algorithm and model structure used in the paper was provided. But in Supplementary, only one modality encoder is shown.								The authors will provide the code and dataset.								The authors will make their code available.											0	0	0	0	0	0	
689-Paper2908	Unified surface and volumetric inference on functional imaging data	Some details are sketchy, but methods should generally be reproducible.								Reproducibility does not look good.								This work is reproducible as equations are provided, and the additional software that is used are all open source software tools.  Information about the simulated data that was used is provided.  Mentions the models used including the hardware used to run the method.											0	0	0	0	0	0	
690-Paper0530	UniSeg: A Prompt-driven Universal Segmentation Model as well as A Strong Representation Learner	Code and model will be released.								thorough Implementation Details								From the description and the response in the checklist, I believe this work is reproducible.											0	0	0	0	0	0	
691-Paper1057	Unpaired Cross-modal Interaction Learning for COVID-19 Segmentation on Limited CT images	The supplementary material provides architecture details for the encoder, decoder, and classification head. Therefore, I think the reproducibility may be satisfactory.								Needs more details about the data, data preprocessing, and code implementation								The reproducibility of the proposed framework by reading only the paper is not an easy task. Availability of the code and demo would be very appreciated by the community.											0	0	0	0	0	0	
692-Paper2499	Unsupervised 3D out-of-distribution detection with latent diffusion models	The authors mention that they will make code available upon acceptance. This would indeed increase reproducibility of the experiments and somehow counterbalance the fact that performance is evaluated on a private dataset.								Latent transformer model has open-source codes and this paper also gives details on model architecture and hyperparamters. Therefore, reimplementing the proposed method is not very difficult. However, part of the dataset is not public and I'm not sure if the author will enclose the dataset in the future.								Good reproducibility											0	0	0	0	0	0	
693-Paper1171	Unsupervised 3D registration through optimization-guided cyclical self-training	The data are public, but the code does not appear to be distributed somewhere.								The datasets used for evaluation are publicly available.  The authors provided the code and models in an anonymous GitHub repo. However, all functionalities are gathered into a single file of 674 lines of code. A huge training / testing method has been writing and it is impossible to figure out the flow of the algorithm and connect the lines of code with the manuscript. I do not feel able to exactly reproduce the training phase to start.  For the evaluation, the authors provided a clear description of metrics and tendency. Statistical significance was stated when needed.  The average runtime in the testing phase was provided. However, it is important to know the runtime in the training phase and the memory footprint. These magnitudes are not provided.  The clinical significance of the method can be inferred from the introduction. However, the proposed method needs further validation in more different datasets for considering moving to clinical application.								The authors have released the source code of this work. The results presented in the paper can be reproduced by others.											0	0	0	0	0	0	
694-Paper2309	Unsupervised classification of congenital inner ear malformations using DeepDiffusion for latent space representation	The author is satisfied with the information provided by the authors.								This work is reproducible.								The method in this study is not complicated and is reproducible. But since the data are not balanced and sample sizes are small for some classes, results might not be robust.											0	0	0	0	0	0	
695-Paper1729	Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features	Essential network configurations and hyper-parameters are shared.								Reproducibility is rather weak and significantly lower as promised in the reproducibility checklist. The checklist contains only "yes"es, even at questions that are not applicable for this work. However, the manuscript is missing many of the promised information, such as description of the compute hardware, A description of results with central tendency (e.g. mean) & variation, Details on how baseline methods were implemented and tuned, A description of the memory footprint, Discussion of clinical significance, The average runtime for each result, or estimated energy cost, a note that code will be released and more.								The parameters given in this paper are only the size of the input image, the learning rate and the number of iterations, while the specific parameters of the model (such as the size of the convolution kernel and the weight of the loss function) are not explained.											0	0	0	0	0	0	
696-Paper0946	Unsupervised Domain Adaptation for Anatomical Landmark Detection	The authors used public datasets and state to release their code. Thus, results should be reproducible.								The image datasets are publicly available.  Parameter details are specified but no link to code is provided.  Section 2 and Section 3.1 are informative enough to facilitate reproduction.								The paper has provided most of the details.											0	0	0	0	0	0	
697-Paper3159	Unsupervised Domain Transfer with Conditional Invertible Neural Networks	Only a general description of the network is given. The lack of architectural details makes reproducibility somewhat challenging. Hope the code will be released to resolve this.  Same applies to the data, as I understand the method is tested on two in-house datasets. So reproducibility is not possible.  By default, I am biased to trust authors. Still, without providing access to the method and data, nothing stops any authors from potentially putting arbitrary numbers in the result section.								Although the key hyperparameters are stated in the supplementary material, I recommend that the authors release the codes and data for the method.								The reproducibility of the paper is not clearly mentioned in the paper											0	0	0	0	0	0	
698-Paper2299	Unsupervised Learning for Feature Extraction and Temporal Alignment of 3D+t Point Clouds of Zebrafish Embryos	Author has convey, clear, specific and complete information about data, code, models and computational methods and analysis that support the contents and result presented in the paper.								It is difficult to reproduce for the following reasons:    The model/framework is not clearly explained or illustrated  The code is not published.  The synthesized dataset is not clearly explained.								Meet all criteria.											0	0	0	0	0	0	
699-Paper0297	UOD: Universal One-shot Detection of Anatomical Landmarks	As mentioned above, the paper is well written, particularly in terms of reproducibility. I would ask the authors to please share the code in the rebuttal as anonymous github account, as a good practice.								The author checked yes to all the Reproducibility Response questions. The only concern is the chest dataset they use might not available since the link they provide does not work.								o The paper conducted experiments on public datasets.  o The authors will release the code upon the acceptance.											0	0	0	0	0	0	
700-Paper2751	UPCoL: Uncertainty-informed Prototype Consistency Learning for Semi-supervised Medical Image Segmentation	The paper addresses relevant points with respect to reproducibiility.								This paper is reproducibility								It will be better if the authors can release their code for reproducibility.											0	0	0	0	0	0	
701-Paper0843	Utilizing Longitudinal Chest X-Rays and Reports to Pre-Fill Radiology Reports	The paper seems to be reproducible since it is clearly written, and the authors have shown the implementation details. Also, the authors intend to release the code and dataset used for the evaluation.								Implementation details are provided and thus the reproducibility looks good.								Dataset and code will be made publicly available.											0	0	0	0	0	0	
702-Paper2942	UWAT-GAN: Fundus Fluorescein Angiography Synthesis via Ultra-wide-angle Transformation Multi-scale GAN	Code is included.								The author provided the code, but the data used in the paper is difficult to obtain, so the reproduction of the original paper is a certain challenge.								Very good with train/inference code available											0	0	0	0	0	0	
703-Paper0139	UXDiff: Synthesis of X-ray Image from Ultrasound Coronal Image of Spine with Diffusion Probabilistic Network	Code and data are not provided. However, authors don't propose complex new methods that would be too challenging to reproduce. The problem is that readers will not have volume projection spine images, so even if they reproduce the methods, it is difficult to verify the results. I think a test dataset should be released in the public in this case.								The paper contains good amount of implementation details. Moreover, the authors will provide code, which may improve the reproducibility of the paper.								The method is described clearly although I am not entirely sure the paper is reproducible fully. Some details of the network are missing (initialization, wether dimensioning of layers has changed to fit the current image size, any preprocessing or data normalization, etc). Also the dataset is proprietary so experiments are not reproducible.											0	0	0	0	0	0	
704-Paper2283	Vertex Correspondence in Cortical Surface Reconstruction	Multiple open-source datasets were used for training, testing, and validation of the model. This, along with the detailed model description, allows for the high reproducibility of the study. The code used is also publicly available. There is a clear description of the mathematical framework, with the exception that model weights were not included in the equation/ calculations written in the paper.								The answers given by the authors seem consistent with what is present in the paper. Code will be made available on GitHub, and the methods and results are well described for an 8-page paper.								The authors use publicly available datasets, and build on the V2C code which is also publicly available.											0	0	0	0	0	0	
705-Paper0384	VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis	Generally meeting the requirements.								Looks no problem								there are some problems to reproduce this paper since some details are missed and also the structure is not introdeced clearly											0	0	0	0	0	0	
