Paper ID	Paper title	For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Put 1 if the reviewer has said that the code is or will be available	Choose the category of statement	Choose the category of comments	For scoring a given reviewer									For scoring a given reviewer									Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree		
434	S5CL: Unifying Fully-Supervised, Self-Supervised, and Semi-Supervised Learning Through Hierarchical Contrastive Learning 	Authors provide enough information on method details and experimental settings.									Good. All methods used for the proposed framework are depicted clearly and noted with appropriate references.									Code release promise after acceptance. Public datasets utilized																				
435	Sample hardness based gradient loss for long-tailed cervical cell detection 	The dataset didn't go public, but the implementation details of the main detector are described, so it would be reproduced should the dataset be accessible. The details of other detectors (FCOS, ATSS, YOLOF) are not provided.									The experimental dataset is not public available neither with the code. It would be preferable if the author can publish their dataset and the code upon the acceptance of the paper.									1.The codebase of this paper is based on mmdetection. So, the code is well-structured and the results can be easily reproduced; 2.The collection of long-tailed dataset used by this paper is time-consuming. As far as I know, there is not a public dataset about long-tailed cell detection. However, the experiment results are totally dependent on the private dataset. If this dataset will not be open-sourced, the reproducibility of this paper will be greatly reduced.																				
436	SAPJNet: Sequence-Adaptive Prototype-Joint Network for Small Sample Multi-Sequence MRI Diagnosis 	"this paper proposed to use Transformer and additive-angular-margin loss for small sample multi-sequence MR image classification. However, this paper has several major flaws and fails to illustrate their point: The first component, Transformer model, is claimed to filter intra-sequence features and aggregate inter-sequence features, based on attention mechanism. But I didn't see any details about how to achieve these 2 goals in section 2.1. The overall writing quality is poor and difficult to follow. Similarly, neither the section 2.2, prototype optimization strategy, illustrates how to approximate the intra-class prototype and alienate the inter-class prototype. For example, the query sample q^a and support sample s^b corresponding to which modalities, the loss_2 should be explicitly expressed like loss_1, and why you choose the additive-angular-margin loss instead of the ordinary cross-entropy loss for classification. Fig 2 is very ambiguous and lacks sufficient explanation. E.g., what are the vectors besides the local significance block, how to aggregate into global correlation (through concatenation, pooling, or others), where does the support prototype come from, where are the 2 stages in Prototype optimization strategy, and how to approximate intra-class prototypes and alienate inter-class prototypes. The experiment section lacks the explanation of 3 modalities of data (SAX, LAX, and LGE). Some minor issues: a. P2, 1st paragraph, the hyperparameter p's explanation is ambiguous. b. Section 2.2 mentions robust classification. So what kind of attack methods you are dealing with? c. Section 2.2 2nd paragraph says ""two outputs of the SAT ..."" what does the two outputs referring to? d. Still in Section 2.2 2nd paragraph, ""The former is reserved for ..."". After this, where is the latter one? What's the purposes of two stages here? e. Table 3 didn't explain what's VOT."									No mentioning about it, except listing of sources for the comparison methods									The authors have provided necessary parameter deatils. They intend to make the code public.																				
437	SATr: Slice Attention with Transformer for Universal Lesion Detection 	Good reproducibility if code can be provided.									The authors claim that code will be published. Also, sufficient implementation is provided in the paper.									Can be reproduced																				
438	Scale-Equivariant Unrolled Neural Networks for Data-Efficient Accelerated MRI Reconstruction 	The authors provided details about the proposed models, datasets, and evaluation. As the authors stated, the reference code seems be released after the review process.									The dataset used in this paper is publicly available. This paper has the reproducibility.									Data is publicly available and codes will be provided																				
439	Screening of Dementia on OCTA Images via Multi-projection Consistency and Complementarity 	The method seems reproducible. However, the main experiments are conducted on a private dataset, which undermines the reproducibility.									The reproducibility of the paper is credible.									The authors will provide code after the paper is accepted.																				
440	Scribble2D5: Weakly-Supervised Volumetric Image Segmentation via Scribble Annotations 	Datasets are publicly available and sufficient information is provided in the paper to reproduce the results with modest hardware.  The abstract states that code is available online.									The paper can be fairly straight-forward to reproduce. Some key modules of the proposed method are already open-sourced, such as SLIC, HED, etc.									Seems okay. The code is/will be available online.																				
441	Scribble-Supervised Medical Image Segmentation via Dual-Branch Network and Dynamically Mixed Pseudo Labels Supervision 	The reproducibility of the paper is very high. Methods, implementations and settings are quite clear. Codebase is released. Dataset used is public.									The authors released the source code of this paper, and it is not hard to reproduce the experiment.									no review																				
442	SD-LayerNet: Semi-supervised retinal layer segmentation in OCT using disentangled representation with anatomical priors 	The reproducibility is good. The authors provide the link of source code.									They could reproduce the results with some difficulty.									good																				
443	SeATrans: Learning Segmentation-Assisted diagnosis model via Transformer 	No code is provided now. Some training strategies have been described in the Experiemnetal part but not support for the reproducibility of the paper. Since this work is mainly based on the network design.  The code release would benefit other researchers.									The three datasets are available. The code is not available.									The authors have used public data and they will make their code public, according to their answers in the checklist. So I believe their work is reproducible.																				
444	Segmentation of Whole-brain Tractography: A Deep Learning Algorithm Based on 3D Raw Curve Points 	Codes and training process are revealed in the supplementary materials. The reproducibility sounds plausible.									good. It is not clear whether the author will distribute the manual labels.									The author provides code in the supplementary file.																				
445	Self-Ensembling Vision Transformer (SEViT) for Robust Medical Image Classification 	can be reproduced									The paper can be reproduced.									As listed reproducibility checklist, the work should be in good reproducibility.																				
446	Self-learning and One-shot Learning based Single-slice Annotation for 3D Medical Image Segmentation 	Not assessed.									Satisfactory - even though these are checked off on the reproducibility response, there are actually no details of how baseline methods were implemented and used, no variations reported (error bars or standard deviation), and no statistical significance analyses.									seems to be ok																				
447	SelfMix: A Self-adaptive Data Augmentation Method for Lesion Segmentation 	"Good.  More details of the ""random selected non-tumor regions"" should be given."									details look good to me.									The description is clear. Reproducible.																				
448	Self-Rating Curriculum Learning for Localization and Segmentation of Tuberculosis on Chest Radiograph 	The dataset download link is not provided. The training code and model are not provided.									It should be reproducible.									Although the authors curated a large size TB-CXR dataset, my understanding is that they are not sharing the data with the manuscript. The authors also did not share codes. The experimental parameters are provided in the text. The idea is applicable to most medical image analysis problems.																				
449	Self-supervised 3D anatomy segmentation using self-distilled masked image transformer (SMIT) 	It is easy to implement the idea based on the method description.									Authors provide enough information on method details and experimental settings.									It would be easier to reproduce this work, if the code could be released.																				
450	Self-supervised 3D Patient Modeling with Multi-modal Attentive Fusion 	The RGBD keypoint detection module does not seem challenging to implement, but its parameters are not fully explained. The 3D mesh estimation is challenging to implement.									Datasets and code: The authors used a combination of public and the private dataset. The authors have neither provided nor mention the availability of the private dataset, models, training/evaluation code upon acceptance. Experimental results: No result on the different hyperparameters setting or on the sensitivity of hyperparameters on the results. The authors used fixed hyperparameters.									Reproducibility of the method is overall given. Although the description of methods lacks many details in the main paper, they are provided in the supplementary material. The results in the paper could likely not be reproduced, since the authors use proprietary training and testing data. It would be very valuable for the field if this data would be made publicly available.																				
451	Self-Supervised Depth Estimation in Laparoscopic Image using 3D Geometric Consistency 	Good									The authors claim they will release data + code so this should be reproducible.									Implementation details were provided. The data collection process was described.																				
452	Self-Supervised Learning of Morphological Representation for 3D EM Segments with Cluster-Instance Correlations 	New dataset will be made available!									The supplementary material provides enough details for reproduction.									The method part is clear. But it lacks the discussion for the choice of hyper-parameters.																				
453	Self-Supervised Pre-Training for Nuclei Segmentation 	Level of detail is high, so it should be possible to reproduce the work. It seems authors will not provide the code.									The complete architecture is shown in the manuscript, and some implementation details reveal hidden and unclear. The author could consider open sourcing their project, which might be helpful to improve its reproducibility.									The paper provides some implementation details about the proposed method. It is unclear if the paper will provide the official code. So potentially there could be some issues in reproducing the method.																				
454	Semi-supervised histological image segmentation via hierarchical consistency enforcement 	Methods: Highly reproducible as all the technical details are well-explained.  Datasets: Both datasets are open-access which									The presented ideas are clear and can be reproduced.									Authors claimed that the code will be released, and results shown in the paper seem reproducible.																				
455	Semi-supervised Learning for Nerve Segmentation in Corneal Confocal Microscope Photography 	The method is made by many step. The overall method is clear but the reproducibility of each single step is not, probably due to the limited number of available pages.									Good									No code sharing was mentioned in the submission. The datasets are publicly avaible.																				
456	Semi-supervised learning with data harmonisation for biomarker discovery from resting state fMRI 	no review									Reproducibility is good									The authors have checked off all relevant items on the reproducibility checklist, including sharing of code, and the reporting in the paper matches the checklist, so should be highly reproducible.																				
457	Semi-Supervised Medical Image Classification with Temporal Knowledge-Aware Regularization 	The implementation details are enough for the reproducibility of the paper.									the author provides sufficient implementation details which helps reproduce the results.									The reproducibility is fine.																				
458	Semi-Supervised Medical Image Segmentation Using Cross-Model Pseudo-Supervision with Shape Awareness and Local Context Constraints 	The authors will provide the code after acceptance. Public dataset is used.									The method is clearly described, so the paper should be reproducible in terms of implementation.									Precise reproducibility is not a particular strength of neural networks. The networks are described in the implementation section and can be reimplemented.																				
459	Semi-Supervised PR Virtual Staining for Breast Histopathological Images 	As said before, the dataset not seems to be free and public									the model and additional classifiers are vaguely described, without source code the study is not reproducible									Reproducible																				
460	Semi-Supervised Spatial Temporal Attention Network for Video Polyp Segmentation 	It's unclear from the reproducibility questions whether the authors plan to release their masks they produced. The authors do not include any complexity information about their approach, where it's known that transformers tend to be parameter heavy and slow. I do not see any discussion of hyperparameter sensitivity in the supplemental materials like the authors claim.									A detailed explanation of the proposed approach is presented and public available dataset is used for the evaluation step.									The paper shows source code is available and it is acceptable.																				
461	Sensor Geometry Generalization to Untrained Conditions in Quantitative Ultrasound Imaging 	"In the reproducibility checklist, authors claim that they share a sample test dataset and their code. The current version of the manuscript has no links to open source repositories, but I expect authors would make data and code available upon acceptance. I see it very difficult to replicate the method and reproduce the results by only following the description provided in the paper, due to the complexity of the proposed architecture. Moreover, authors declare that ethical approval is ""not applicable"" to their work. Actually, since their evaluation include real patient data, ethical approval should be present."									The authors agree to make public the, Training code, Evaluation code,  (Pre-)trained model(s), Dataset or link to the dataset needed to run the code.									good																				
462	SETMIL: Spatial Encoding Transformer-based Multiple Instance Learning for Pathological Image Analysis 	the paper provided sufficient details, the reproducibility is good.									The source code has been  provided.									Sharing code is one of the best practices for reproducibility, and I would say the work is reproducible.																				
463	SGT: Scene Graph-Guided Transformer for Surgical Report Generation 	The reproducibility is good, as the code is already released.									According to the reproducibility checklist, the source code and pretrained models will be made publicly available, which is essential to guarantee the reproducibility of the results. Additionally, the method was developed using a public benchmark dataset for surgical report generation, which promotes research in the area.									Reproducibility looks good.																				
464	Shape-Aware Weakly/Semi-Supervised Optic Disc and Cup Segmentation with Regional/Marginal Consistency 	The code is already shared and the data downloadable. The documentation seems enough to be able to re-run their experiments.									Meet the requirement.									I think the method can be replicated, and the author has provided the code.																				
465	Shape-based features of white matter fiber-tracts associated with outcome in Major Depression Disorder 	This report is consistent with the paper.									Should be reproducible based on what has been reported. Though, code is missing on how the methods were executed.									They used publicly available tools. However, the dataset is not public, hopefully it will be.  Used parameters are reported but they specific code is not available or not clear whether will be. I was not able to find the the reference foot note 1 to what is referred (the github link).																				
466	ShapePU: A New PU Learning Framework Regularized by Global Consistency for Scribble Supervised Cardiac Segmentation 	The work was evaluated on a publicly available dataset. Following the checklist, I assume that the code will be available after acceptance.									The paper can be reproduced and data can be collected to compare against new algorithms									The implementation details are mentioned and the authors have used a standard Unet model for this framework. A few more details such as how long it took and how many iteration for EM (was the EM algorithm performed for each epoch?) would be helpful.																				
467	Show, Attend and Detect: Towards Fine-grained Assessment of Abdominal Aortic Calcification on Vertebral Fracture Assessment Scans 	nan									The evaluation uses a public dataset and the model is clearly described.									The authors will publish the trained model and their code upon acceptance. However, some details should be disclosed in the paper, such as the number of training epochs. Also, a citation was provided where the same dataset was used, which does not appear to be published.																				
468	Siamese Encoder-based Spatial-Temporal Mixer for Growth Trend Prediction of Lung Nodules on CT Scans 	reproducible									This paper does not specify the software framework and version used, the description of the model is not clear enough, the experimental code and other experimental details are not provided, and the reproducibility of the paper is poor.									Good reproducibility: Authors provided clear description about the pipeline of their methods, clear description about the datasets they used for experiments, as well as the parameters and environments used for training models.																				
469	Simultaneous Bone and Shadow Segmentation Network using Task Correspondence Consistency 	No comments.									Network architecture and training information are clear and helpful for reproducibility.									OK. NO particular comment.																				
470	Skin Lesion Recognition with Class-Hierarchy Regularized Hyperbolic Embeddings 	They scarcely describe the database. They mention the number of images but they do not mention how many images of each class or if it is balanced. They cited a previous work of the authors, perhaps in this reference the database is better described. They do not provide implementation details. They state ithat it  is included in an Appendix, but in the available appendix only a figure with the structure of the skin taxonomy is contained.									Excellent.									Upon release of the dataset employed in the study, the paper contains the necessary information to reproduce the paper's results. However, I encourage the authors to share more details about the classification network and clarify whether multiple layers were used and if there is any type of batch normalization or non-linearity.																				
471	SLAM-TKA: Real-time Intra-operative Measurement of Tibial Resection Plane in Conventional Total Knee Arthroplasty 	Author(s) response to reproducibility indicate that data and code will be shared, which makes this paper full reproducible.									The implementation details have been well addressed.									The reproducibility depends on whether the code is to be open-sourced. Otherwise, making a SLAM pipeline working takes a lot of efforts in fine-tuning. It is good that the authors promise to share the code after acceptance.																				
472	SMESwin Unet: Merging CNN and Transformer for Medical Image Segmentation 	likely to be reproducible									Possible to reproduce.									As the codes will be public after acceptance and dataset is already public, the reimplementation and repeat of the results should be possible and easy.																				
473	Sparse Interpretation of Graph Convolutional Networks for Multi-Modal Diagnosis of Alzheimer's Disease 	The paper includes analysis of results and performance and the dataset used are cited. However, the paper lacks implementation details for reproducibility.									Publically available data is being used for evaluation.									The ideas and experiments described in this paper are quite clear, should be repeatable.																				
474	Spatial-hierarchical Graph Neural Network with Dynamic Structure Learning for Histological Image Classification 	The code has been provided to regenerate the results.  Part of the experiments has been done on BRACS dataset which is publicly available.									The checked points in the reproducibilty checklist match perfectly the information provided in the paper.									Beyond the presence or absence of the software, further details in terms of reproducibility could be given, for example the stop criterion for the choice of the best model.																				
475	Spatiotemporal Attention for Early Prediction of Hepatocellular Carcinoma based on Longitudinal Ultrasound Images 	The experimental conditions in terms of reproducibility are well described. The authors provide source codes for training and evaluation. The dataset is not public.									Private dataset and code.									Paper is clear enough that an expert could confidently reproduce																				
476	Spatio-temporal motion correction and iterative reconstruction of in-utero fetal fMRI 	The authors meet the reproducibility criteria. The reviewer was unable to find any code or a commitment to share later.									The proposed method seems to be  reproduceable. The method is clearly presented and there is an algorithm summarizing the workflow.									The algorithm is clearly explained, though the data and code are not made available.																				
477	Stabilize, Decompose, and Denoise: Self-Supervised Fluoroscopy Denoising 	The paper is reproducible.									Implementation details and experimental settings were well-explained. It could be reproducible.									Yes																				
478	Stay focused - Enhancing model interpretability through guided feature training 	Authors will publish all relevant code, datasets, and models.									Authors will provide the code and dataset upon acceptance. However, these were not available at revision time so that they could not be assessed.									Details in terms of calculations are clear, code will be provided. The data is publicly available but the details re images might not be as clear/shared with and in this way one could face a bit of problems replicating the work.																				
479	Stepwise Feature Fusion: Local Guides Global 	I didn't spot issues about reproducibility.									I think this paper has provided enough details for models and experiments settings.									The authors indicate that the code and model will be released after being accepted. The datasets used in Experiments are all open accessed. The paper also provides the data splits, training parameters and model structure, although some of the model parameters are missed (convolution kernel size in LE module), the results of the paper should be able to reproduce.																				
480	Stereo Depth Estimation via Self-Supervised Contrastive Representation Learning 	Authors promise to release their code as well as the datasets used in this paper. Thus I believe the results should be able to reproduce following the descriptions and the released repo.									The authors provide implementaion details in the paper and also agree to release codes and pretrained models in the reproducibility checklist.									Details to train the encoder is missing.																				
481	Stroke lesion segmentation from low-quality and few-shot MRIs via similarity-weighted self-ensembling framework 	The authors indicate that they will provide access to the implementation. This will help to reproduce the results, but at the cost of a careful reading of the code, since the reader has to fill the gaps in the description found in the article.									Code and data are publicly available.									Code will be made available. Datasets are available.																				
482	Structure-consistent Restoration Network for Cataract Fundus Image Enhancement 	Upon release of the code, the reproducibility can be verified.									Two private datasets are adopted in the training and evaluation stage. Besides, several value settings of parameters are lost in the article. Adding the instructions of these parts in the paper would contribute to the improvement of reproducibilily.									It is likely to be reproducible.																				
483	Super-Focus: Domain Adaptation for Embryo Imaging via Self-Supervised Focal Plane Regression 	All the methods developed in this paper are clear and valid. Also majority of the implementation details are properly described and values of all the parameters are reported.									Since all datasets are private, reproducing the reported results is not possible. Pretrained models are also not released. One can only get ideas from reading the text on similar datasets/problems.									Seems reproducible, given that the authors indeed provide the code in case of acceptance.																				
484	SUPER-IVIM-DC: Intra-voxel incoherent motion based Fetal lung maturity assessment from limited DWI data using supervised learning coupled with data-consistency 	The authors claim that their code will be made publicly available upon publication. The simulated data the authors are using is probably easy to reproduce. The authors do not mention that they are planning to publish the in vivo data used in their experiments, which probably makes the exact reproduction of their results impossible. AT least the experiments using healthy volunteers should probably be reproducible using own acquisitions though.									The authors provide sufficient details for reproducing their methodology, including a detailed description of the implementation of their code. While they pledged to make code available, they did not rely on open data, therefore a complete reproduction is not possible.									Their code and trained models will be made publicly available upon publication.																				
485	Supervised Contrastive Learning to Classify Paranasal Anomalies in the Maxillary Sinus 	Overall, most hyperparamters are given and the methods themselves are not novel. The dataset is not provided so its hard so reproduce the exact results, but extending them to different datasets should be easy.									The authors will not release their code.									The paper seems fairly reproducible - no code nor data is available but readers could try the suggested methods on their dataset of choice.																				
486	Supervised Deep Learning for Head Motion Correction in PET 	"Language problems need to be checked, many long sentences are not clearly expressed and are confusing. The experiments section needs more clarifications: The subject group contains patients with normal cognition, cocaine dependence, and cognitive diseases. I would like to know if any strategy was used in splitting the training and test sets? For example, keeping a diversity of patient types in each subset. In the ablation study (Table 1), the test MSE value for ""more data, FWT, Deep Encoder and Normal sampling"", which is located in the second row, has a much higher value than the others. Can the authors explain this? The results In fig. 2(a) are for subject 1. Also, there is another subject 1 in Table S1. I assume they are different subjects since one is for single-subject experiments and one is for multi-subject experiments. But referring to them the same name still causes confusion. In section 3.2, the authors claimed that subject 2 has a mean MSE of 0.02. But Table S1 shows the mean MSE of subject 2 is 1.114. They are contradictory. I assume they are also different objects as I mentioned above. The confusions need to be addressed. ""The results for Subject 2 (mean MSE 0.02) show that the network is capable of accurately predicting motion from training subjects even though the motion relative to the reference frame was never used for training."" Does this mean that in the experiment in figure 2, the moving images of subject 2 have been resampled and different from the images that are used during training? The detail of the experiment settings needs to be clarified."									The authors have given enough information to reproduce the work.									So there is no code that is shared, at least I cannot see a link to the GitHub repo. The MOLAR reconstriction is accessible in principle, but is not easy to get to run, not even if one also has an HRRT scanner. Hence, the reconstruction of images is probably hard to redo. The data can probably not be shared, since it is clinical data.																				
487	Suppressing Poisoning Attacks on Federated Learning for Medical Imaging 	It seems feasible to reproduce the results with the provided information.									The implementation detail of the proposed method is well presented, as well as the experimental settings.									no review																				
489	Surgical Scene Segmentation Using Semantic Image Synthesis with a Virtual Surgery Environment 	It looks reproducible.									The dataset will be released to public on their website.									The authors promise to publish the real and synthetic datasets, as well as the baseline segmentation models for reproducibility. However, a fully functioning published version of the synthetic data generation pipeline would be valuable for the community to transfer the method to other domains and clinical applications																				
490	Surgical Skill Assessment via Video Semantic Aggregation 	Measures of variance are missing.									The reproducibility of the paper looks fine.									The authors state that they will release the source code upon publication. They experiment on publicly available datasets: one of them is the commonly used JIGSAWS with predefined experimental setups and the other one is HeiChole, for which the authors include some details to their experimental setup.																				
491	Surgical-VQA: Visual Question Answering in Surgical Scenes using Transformer 	The authors provide codes and documents.									According to the reproducibility checklist, the source code and pretrained models will be made publicly available, which is essential to guarantee the reproducibility of the results. Additionally, the method was developed using a public benchmark dataset for surgical VQA, which promotes research in the area. Despite not including any intention to publicly release the data in the main text, the reproducibility checklist mention that they will be released upon acceptance. Furthermore, there should be included more statistics about the new data. How were these annotations generated? This information will be valuable for new research on this task.									According to the materials, the paper is reproducible.																				
492	Survival Prediction of Brain Cancer with Incomplete Radiology, Pathology, Genomic, and Demographic Data 	The authors have provided necessary information for reproducibility.									The authors specify that code and data will be publicly available									The authors provide some information about the dataset used, and the experimental settings. The exact details of the split generation are missing. Overall the work looks to be reproducible.																				
493	SVoRT: Iterative Transformer for Slice-to-Volume Registration in Fetal Brain MRI 	Authors state on the reproducibility statement that code will be made available, nothing is mentioned to this sense in the paper. Still the different generated/simulated motion levels on the FeTA dataset should be made available also as to ensure reproducibility.									The reference implementation of SVoRT will be available on github.									Reproducible for the publicly available FETA dataset. The clinical dataset is not available as the authors answered not applicable to << A link to a downloadable version of the dataset (if public) >>, the code is/will be however put in Github.																				
494	Swin Deformable Attention U-Net Transformer (SDAUT) for Explainable Fast MRI 	Some model specifications are missing in the paper. But the authors have agreed to release codes and models in the checklist.									Hard to assess.									The reproducibility checklist shows the authors will upload their code and implementation details online. The experimental settings are listed in the manuscript, but the hyper-parameters for the proposed method are missing.																				
495	Swin-VoxelMorph: A Symmetric Unsupervised Learning Model for Deformable Medical Image Registration Using Swin Transformer 	very good reproducibility, with code and dataset available.									The paper seems reproducible. Although, the authors do not mention in the text whether they plan to make the code publicly available.									The paper is easy to follow, though some of the details are not clearly described.																				
496	Tagged-MRI Sequence to Audio Synthesis via Self Residual Attention Guided Heterogeneous Translator 	Authors have provided fair information to reproduce the method.									It is negative for the reproducibility of the paper, because they did not share the source codes.									The authors provide sufficient information to reimplement the proposed architecture.																				
497	Task-oriented Self-supervised Learning for Anomaly Detection in Electroencephalography 	Codes not open, should have some issues in reproducibility.									GIven the submission, it is possible to reproduce the results even without the code.									Good.																				
498	Task-relevant Feature Replenishment for Cross-centre Polyp Segmentation 	The hyperparameters are clearly listed. Although is not clear how the model is evaluated. The paper states that the maximum training epoch is set to 150. Is the model evaluated at the end of the 150 epoch? Or maybe some strategy is used to select the best epoch in which the model is evaluated?									Sufficient implementation details are provided in the paper.									Although the author does not provide source code, they mention about the hyperparamters. But i do not think the method is reproducible at current form.																				
499	TBraTS: Trusted Brain Tumor Segmentation 	This paper seems to be reproducible on any segmentation architecture.									The paper is reproducible.									No special issue here.																				
500	Test Time Transform Prediction for Open Set Histopathological Image Recognition 	The source code will be made public with the publication. The authors have used public dataset for their experiements.									The reproducibility of this work seem to be reasonable, but should be further validated on more datasets.									I feel the authors present enough information on the datasets and algorithm to allow for reproducibility of the paper. If they indeed release a working software, the impact of the paper will increase.																				
501	Test-time Adaptation with Calibration of Medical Image Classification Nets for Label Distribution Shift 	Code is not available yet. But the TTADC is expected to be readily reproducible.									Authors claim that code will be available after review.									everything is ok																				
502	Test-Time Adaptation with Shape Moments for Image Segmentation 	"-Details about the data preprocessing and the data splits are provided in the paper. -Details on training are provided in ""Training and implementation details"" section."									The datasets are publicly available, the code as well, with the correction of a few definitions in the description of the method, the work should be reproducible. However, as the method is running an optimization process at test time it would be good to include the details of the used hardware and the measured runtime in order to know what the expected inference time for a sample of the target domain is.									The authors provide source codes for this work and the main datasets used are from challenges. Therefore, the reproducibility of this paper can be achieved to a certain extent. But, it is better to provide more information, like the description of system dependencies, instructions to train and test models, and data preprocessing.																				
503	Test-time image-to-image translation ensembling improves out-of-distribution generalization in histopathology 	Very clear description, can be reproduced									No links or references for the source code and dataset, however the authors have stated in the reproducibility form that they will release it upon acceptance of the paper.									Probably fair. But it would be better if the authors could release their codes.																				
504	TGANet: Text-guided attention for improved polyp segmentation 	The key details are sufficient to reproduce the main results.									The paper introduces the network architecture clearly. The experiments are conducted on four public datasets. Code is not released.									The authors plan to release the codes.																				
505	The (de)biasing effect of GAN-based augmentation methods on skin lesion images 	Data is available online									The paper is conceptually reproducible, using well-known methods and well-defined techniques.									Implementation details are given. Manual annotations will be share publicly.																				
506	The Dice loss in the context of missing or empty labels: introducing Ph and  	The authors stated that they will release the code and the related material for the paper.									The paper mentions that the code will be released upon acceptance. This would be helpful in reproducing the results. In addition, this paper also offers some training details for reproducing the results. But these details may not be completely sufficient to obtain the experimental results.									Mention to release the code upon acceptance, public datasets																				
507	The Intrinsic Manifolds of Radiological Images and their Role in Deep Learning 	The results are reproducible, but code release would be nice.									It should be reproducible.									no review																				
508	The Semi-constrained Network-Based Statistic (scNBS): integrating local and global information for brain network inference 	As said above, the method is described in detail but it may be prone to circularity issues in the implementation. In the reproducibility statement, the Authors claim to disclose the code of all experiments, which should enable meta-reviewers and - if accepted - future readers to verify important technical aspects. I invite the Authors to clearly mention in the manuscript the complete availability of the source code.									The order of the paper was a little unfamiliar. It would be better for Sec. 2 scNBS to be included in Sec. 3 method, and for the subsection 'Synthetic Data for Benchmarking' to be included in Sec. 4 Results. The words in the figures and the figures were too small to read. In Fig. 3, R is not defined. In the second line on page 4, the parentheses are missed. There is no explanation of how S_{g}^{+} and S_{g}^{-} were used. t_{g}^{+} was selected when the correlation between V_{g}^{+}(c) and y was maximized, however, t_{g}^{-} was selected when the correlation between V_{g}^{-}(c) and y was minimized. Why was the negative effect in t_{g}^{-} selected when the correlation between V_{g}^{-}(c) and y was minimized? The cut-off values, t_{g}^{+} and t_{g}^{-} were obtained by the correlation with y, and the final inference was also estimated by the relationship between V_{g}^{+}(t_{g}^{+}) and y, and between V_{g}^{-}(t_{g}^{-}) and y. It would be better if the results of the consistency analysis of the other methods was also shown in Fig. 6.									Good. I would recommend the authors to release their code upon acceptance of their manuscript.																				
509	Thoracic Lymph Node Segmentation in CT imaging via Lymph Node Station Stratification and Size Encoding 	It is better that code is available to confirm the whole procedures proposed in the paper although the paper is well written and reproducibility can be recognized.									Adequate.									The code of this work were not provided. The reproducibility is slightly worse.																				
510	TINC: Temporally Informed Non-Contrastive Learning for Disease Progression Modeling in Retinal OCT Volumes 	Apart of few technical issues that I detailed below, and after reading the original VICReg paper, I think that the method is clear and the results can be reproduced.									Not reproducible									The authors state that they will release training code, pre-trained model and evaluation code. I believe the reproducibility of this paper is good.																				
511	TMSS: An End-to-End Transformer-based Multimodal Network for Segmentation and Survival Prediction 	Reproducible									"""An analysis of situations in which the method failed"" is missing"									"The reproducibility checklist well matches the contribution. I would like to argue, however, that significance analyses (""Not applicable"") are well applicable, and thus, that the depiction of measures of confidence would have been adequate."																				
512	Toward Clinically Assisted Colorectal Polyp Recognition via Structured Cross-modal Representation Consistency 	The technical implementation process is well described and the method is tested on public datasets.									Good.									It is very easy to follow the network design, with the information provided by the authors, it should be able to duplicate the network without major issues.																				
513	Towards Confident Detection of Prostate Cancer using High Resolution Micro-ultrasound 	Satisfactory									Reproducibility would be a challenge that requires significant effort.									The authors have provided code and details on parameter selection that may allow others to reproduce performance, however, only if similar data and ground truth information is found elsewhere.																				
514	Towards Holistic Surgical Scene Understanding 	"The Reproducibility statement is filled out correctly, to my impression. Very high reproducibility overall, as the authors state: ""we will make publicly available the PSI-AVA dataset, annotations, and evaluation code, as well as pre-trained models and source code for TAPIR"", which is fully transparent. The only missing information was the chosen license for dataset+annotations, TAPIR code, and pre-trained weights."									The paper is reproducible if authors release the dataset.									The structure of the transformer is not shown in Figure 2. This is not conducive to the reproduction of the model.																				
515	Towards performant and reliable undersampled MR reconstruction via diffusion model sampling 	The authors provide code in the supplementary material.									This paper is unclear about some implementation details about model training and settings.									The author were able to make the code and data public. That would benefit the community in recognizing this problem. Also, the evaluation metric is clearly described so that the result would be convincing.																				
516	Towards Unsupervised Ultrasound Video Clinical Quality Assessment with Multi-Modality Data 	Appears to be complete									Although the authors state that the code is provided, this is not the case. The used dataset is not public and thus is not provided. However, the authors should provide a bit more information on image acquisition/origin.									As the method includes too many details and the model has several parts, the results would only be reproducible if the code and data were available.																				
517	Tracking by weakly-supervised learning and graph optimization for whole-embryo C. elegans lineages 	It is a pity that the mskcc-confocal and nih-ls datasets and the results achieved over them were not made privately available for the peer-review purposes. Furthermore, This reviewer did not find any relevant information about the computational aspects of the proposed method (i.e., hardware requirements, execution time, memory footprint, etc.) in the paper.									The methodology is valid and clearly presented. The most convincing results were achieved on the challenge data, with the submission being evaluated by the organizers.									Seems to be reproducible to me. However, as mentioned above it would be good for the final publication to include links to data and repositories to be used for benchmarking and reproduction the community.																				
